Displacement:0,Displacement:1,Displacement:2,Points:0,Points:1,Points:2,vtkOriginalIndices
-1.20941e-08,-1.15383e-08,-2.94458e-09,-0.000803731,0.0207638,0.0477513,0
-5.13612e-06,-5.84858e-06,8.2317e-07,-0.000289056,0.0216735,0.0479117,1
-1.79272e-05,-1.70754e-05,-5.28097e-09,0.000269074,0.0225451,0.0480654,2
-3.53463e-05,-2.98108e-05,5.63047e-07,0.000868725,0.0233755,0.0482118,3
-5.62041e-05,-4.29179e-05,1.21729e-06,0.00150782,0.0241618,0.0483504,4
-8.29957e-05,-5.36512e-05,5.34171e-06,0.00218414,0.0249014,0.0484808,5
-0.000108647,-6.67577e-05,3.43773e-06,0.00289534,0.0255917,0.0486026,6
-0.000144477,-7.52326e-05,1.00503e-05,0.00363896,0.0262302,0.0487152,7
-0.000173753,-8.53602e-05,6.83274e-06,0.00441241,0.0268148,0.0488182,8
-0.000195662,-9.49506e-05,9.8027e-06,0.00521303,0.0273435,0.0489114,9
-0.000209173,-0.000107316,1.17367e-05,0.00603803,0.0278143,0.0489945,10
-0.000220314,-0.000108676,1.80013e-05,0.00688455,0.0282257,0.049067,11
-0.000199576,-0.000120637,1.30143e-05,0.00774967,0.0285763,0.0491288,12
-0.00017203,-0.000132342,2.94631e-05,0.00863037,0.0288648,0.0491797,13
-0.000120732,-0.000139007,4.0724e-05,0.00952361,0.0290903,0.0492195,14
-6.42847e-05,-0.000130025,5.27183e-06,0.0104263,0.0292519,0.049248,15
-2.61499e-05,-0.000125502,2.07463e-06,0.0113353,0.0293491,0.0492651,16
2.4029e-05,-9.8474e-05,7.88718e-06,0.0122475,0.0293815,0.0492708,17
5.03106e-06,-6.09687e-05,-1.65115e-06,0.0122475,0.0295242,0.0483217,18
2.0595e-06,-7.69303e-05,-3.83949e-05,0.0122475,0.0296189,0.0473665,19
-9.38271e-06,-6.49162e-05,-8.18659e-05,0.0122475,0.0296651,0.0464078,20
4.63428e-06,-9.47175e-05,-0.000111004,0.0122475,0.0296629,0.045448,21
7.08747e-06,-0.000139656,-0.00016626,0.0122475,0.0296123,0.0444895,22
-1.11713e-06,-0.000190805,-0.000206555,0.0122475,0.0295133,0.0435348,23
4.04134e-06,-0.000184826,-0.00022472,0.0122475,0.0293662,0.0425863,24
5.45962e-06,-0.000205706,-0.00024175,0.0122475,0.0291713,0.0416464,25
2.6832e-06,-0.000199032,-0.000276711,0.0122475,0.0289293,0.0407176,26
2.26218e-06,-0.000182833,-0.00028693,0.0122475,0.0286407,0.0398022,27
-4.72009e-08,-0.000151487,-0.000286836,0.0122475,0.0283062,0.0389025,28
-2.46674e-06,-0.000136226,-0.000267622,0.0122475,0.0279267,0.0380209,29
-3.62633e-06,-0.000120026,-0.000247032,0.0122475,0.0275032,0.0371596,30
-1.13734e-05,-8.82092e-05,-0.000215506,0.0122475,0.0270367,0.0363207,31
-7.72993e-06,-6.32552e-05,-0.000177721,0.0122475,0.0265284,0.0355065,32
-1.29272e-05,-2.99785e-05,-0.00013718,0.0122475,0.0259797,0.034719,33
-1.20919e-05,7.50761e-06,-8.93642e-05,0.0122475,0.0253919,0.0339602,34
8.25228e-06,1.43642e-05,-4.28864e-05,0.0122475,0.0247665,0.0332321,35
-1.41179e-09,-1.94104e-08,-4.65792e-08,0.0122475,0.0241052,0.0325365,36
5.56327e-10,-1.87852e-08,-4.02321e-08,0.0113465,0.0240825,0.0325592,37
-2.22627e-09,-1.74802e-08,-3.82296e-08,0.0104486,0.0240144,0.0326273,38
-4.67909e-09,-1.72251e-08,-3.4912e-08,0.00955671,0.0239012,0.0327405,39
-8.07881e-09,-1.96894e-08,-3.90174e-08,0.00867397,0.0237432,0.0328984,40
-6.55657e-09,-1.78933e-08,-3.8312e-08,0.00780331,0.0235411,0.0331006,41
-9.81328e-09,-1.74679e-08,-3.66758e-08,0.00694768,0.0232954,0.0333463,42
-1.08017e-08,-1.72168e-08,-3.14334e-08,0.00610997,0.023007,0.0336346,43
-1.05634e-08,-1.67665e-08,-2.73146e-08,0.00529302,0.0226769,0.0339647,44
-1.14151e-08,-1.48426e-08,-2.35791e-08,0.00449959,0.0223062,0.0343354,45
-9.64608e-09,-1.38239e-08,-1.93914e-08,0.00373236,0.0218962,0.0347455,46
-1.04643e-08,-1.36525e-08,-1.88441e-08,0.00299392,0.0214481,0.0351935,47
-1.25938e-08,-1.29524e-08,-1.56167e-08,0.00228678,0.0209637,0.035678,48
-1.03152e-08,-1.17759e-08,-1.32685e-08,0.00161332,0.0204444,0.0361972,49
-1.3483e-08,-1.2289e-08,-1.25535e-08,0.000975821,0.0198921,0.0367495,50
-1.02045e-08,-9.95925e-09,-1.02205e-08,0.000376441,0.0193086,0.0373331,51
-1.1803e-08,-8.27163e-09,-9.11152e-09,-0.000182795,0.0186959,0.0379458,52
-9.2785e-09,-8.15992e-09,-8.12841e-09,-0.000699995,0.018056,0.0385856,53
-1.02854e-08,-7.20705e-09,-7.20355e-09,-0.00117341,0.0173912,0.0392505,54
-1.07037e-08,-7.64595e-09,-6.85537e-09,-0.00132051,0.0177343,0.0400998,55
-1.12594e-08,-7.97415e-09,-6.53788e-09,-0.00142643,0.0180777,0.0409543,56
-1.153e-08,-8.41869e-09,-6.09524e-09,-0.0014914,0.0184213,0.0418138,57
-1.1886e-08,-8.99344e-09,-5.52726e-09,-0.00151525,0.0187634,0.0426728,58
-1.1907e-08,-9.48153e-09,-5.05599e-09,-0.00149841,0.0191027,0.0435282,59
-1.25664e-08,-9.66478e-09,-4.66112e-09,-0.00144123,0.0194395,0.0443801,60
-1.21027e-08,-1.02104e-08,-3.94844e-09,-0.00134371,0.019774,0.0452285,61
-1.23202e-08,-1.06102e-08,-3.77925e-09,-0.0012055,0.0201062,0.0460732,62
-1.23536e-08,-1.13546e-08,-3.18275e-09,-0.00102588,0.0204361,0.0469142,63
-4.34149e-05,-0.000193524,-0.000275929,0.0113086,0.0287575,0.0402686,64
-9.39391e-05,-0.000191225,-0.000271614,0.0103731,0.0286578,0.0403,65
-0.000153134,-0.00018357,-0.000263516,0.0094446,0.028492,0.0403523,66
-0.000181198,-0.000176295,-0.000239091,0.00852635,0.0282608,0.0404252,67
-0.000200852,-0.000164466,-0.000200749,0.00762176,0.027965,0.0405185,68
-0.000214467,-0.000149188,-0.000175927,0.00673416,0.0276056,0.0406318,69
-0.000207479,-0.00013294,-0.000136957,0.00586681,0.0271841,0.0407647,70
-0.000191821,-0.000114618,-0.000101359,0.00502289,0.0267019,0.0409167,71
-0.0001722,-9.87965e-05,-6.50435e-05,0.00420551,0.0261609,0.0410873,72
-0.000147997,-9.49504e-05,-4.24343e-05,0.00341766,0.0255629,0.0412758,73
-0.000118326,-8.17418e-05,-2.68434e-05,0.00266223,0.0249103,0.0414816,74
-8.85365e-05,-5.66696e-05,-1.29098e-05,0.00194201,0.0242054,0.0417039,75
-5.73539e-05,-4.77318e-05,-4.30364e-06,0.00125964,0.0234507,0.0419418,76
-4.03548e-05,-3.77775e-05,-2.58458e-06,0.000617619,0.0226492,0.0421945,77
-2.55709e-05,-2.6058e-05,1.1451e-07,1.8308e-05,0.0218036,0.0424611,78
-1.34165e-05,-1.44138e-05,5.49299e-07,-0.000536089,0.0209171,0.0427406,79
-3.00462e-06,-3.91731e-06,1.22805e-06,-0.00104354,0.0199931,0.043032,80
-3.59624e-05,-0.000162504,-0.000289705,0.0113078,0.0284457,0.0393607,81
-8.97385e-05,-0.000174529,-0.000271108,0.0103715,0.0283457,0.0393922,82
-0.00012251,-0.000174772,-0.000253443,0.0094422,0.0281794,0.0394447,83
-0.000158752,-0.000163512,-0.000227976,0.00852319,0.0279475,0.0395178,84
-0.000193833,-0.000150824,-0.000208349,0.00761788,0.0276508,0.0396114,85
-0.000201516,-0.000141338,-0.000171219,0.0067296,0.0272903,0.0397251,86
-0.000190438,-0.000114636,-0.000142232,0.00586162,0.0268674,0.0398584,87
-0.000166803,-0.000107606,-9.91314e-05,0.00501713,0.0263837,0.040011,88
-0.000151633,-8.7444e-05,-6.22132e-05,0.00419925,0.0258409,0.0401822,89
