Displacement:0,Displacement:1,Displacement:2,Points:0,Points:1,Points:2,vtkOriginalIndices
-1.42121e-08,-1.0888e-08,-3.12366e-09,-0.000803731,0.0207638,0.0477513,0
-5.00627e-06,-5.58435e-06,1.50473e-06,-0.000289056,0.0216735,0.0479117,1
-1.90722e-05,-1.7794e-05,-6.82196e-08,0.000269074,0.0225451,0.0480654,2
-3.51641e-05,-2.99544e-05,-1.30564e-06,0.000868725,0.0233755,0.0482118,3
-5.72431e-05,-4.31804e-05,1.61311e-06,0.00150782,0.0241618,0.0483504,4
-8.3509e-05,-5.43805e-05,7.25501e-06,0.00218414,0.0249014,0.0484808,5
-0.000109689,-6.7625e-05,5.34845e-06,0.00289534,0.0255917,0.0486026,6
-0.000143072,-7.63076e-05,1.00963e-05,0.00363896,0.0262302,0.0487152,7
-0.00017247,-8.58156e-05,7.85541e-06,0.00441241,0.0268148,0.0488182,8
-0.000191784,-9.79409e-05,1.2551e-05,0.00521303,0.0273435,0.0489114,9
-0.000205729,-0.000106077,1.18041e-05,0.00603803,0.0278143,0.0489945,10
-0.000213477,-0.000107052,1.5348e-05,0.00688455,0.0282257,0.049067,11
-0.000195994,-0.000113563,1.06289e-05,0.00774967,0.0285763,0.0491288,12
-0.00017461,-0.000121159,2.52265e-05,0.00863037,0.0288648,0.0491797,13
-0.000125407,-0.000131196,3.8307e-05,0.00952361,0.0290903,0.0492195,14
-7.52993e-05,-0.000125033,8.28541e-06,0.0104263,0.0292519,0.049248,15
-3.76664e-05,-0.000137478,1.01663e-06,0.0113353,0.0293491,0.0492651,16
1.77797e-05,-0.00010615,1.62758e-05,0.0122475,0.0293815,0.0492708,17
1.2465e-05,-9.47619e-05,-8.75312e-06,0.0122475,0.0295242,0.0483217,18
1.16849e-05,-0.000109153,-3.51071e-05,0.0122475,0.0296189,0.0473665,19
2.6264e-06,-0.000128656,-8.21601e-05,0.0122475,0.0296651,0.0464078,20
8.2457e-06,-0.000133817,-0.000113197,0.0122475,0.0296629,0.045448,21
8.93692e-06,-0.000156542,-0.000161452,0.0122475,0.0296123,0.0444895,22
5.45607e-07,-0.000195942,-0.000200386,0.0122475,0.0295133,0.0435348,23
-1.11671e-06,-0.00018472,-0.000217507,0.0122475,0.0293662,0.0425863,24
-1.83177e-07,-0.000196855,-0.000233448,0.0122475,0.0291713,0.0416464,25
-5.18723e-06,-0.000186444,-0.000263876,0.0122475,0.0289293,0.0407176,26
-1.63503e-06,-0.000169242,-0.00027066,0.0122475,0.0286407,0.0398022,27
-2.00719e-06,-0.000143939,-0.000268178,0.0122475,0.0283062,0.0389025,28
-1.82871e-06,-0.000133896,-0.000250324,0.0122475,0.0279267,0.0380209,29
-4.34831e-06,-0.000119785,-0.00023245,0.0122475,0.0275032,0.0371596,30
-1.01905e-05,-9.04674e-05,-0.000204759,0.0122475,0.0270367,0.0363207,31
-5.10091e-06,-6.56331e-05,-0.000170959,0.0122475,0.0265284,0.0355065,32
-1.05094e-05,-3.15993e-05,-0.000133037,0.0122475,0.0259797,0.034719,33
-1.27872e-05,8.44607e-06,-8.89864e-05,0.0122475,0.0253919,0.0339602,34
7.37129e-06,1.40581e-05,-4.20931e-05,0.0122475,0.0247665,0.0332321,35
-1.11912e-09,-1.92248e-08,-4.81864e-08,0.0122475,0.0241052,0.0325365,36
